PRECINCT NAME,KS Supreme Court Justice 4,KS Supreme Court Justice 4
Olathe Ward 1 Precinct 28,0,0
Olathe Ward 2 Precinct 01,283,146
Olathe Ward 2 Precinct 02,578,181
Olathe Ward 2 Precinct 03,426,252
Olathe Ward 2 Precinct 04,476,271
Olathe Ward 2 Precinct 05,1225,560
Olathe Ward 2 Precinct 06,858,344
Olathe Ward 2 Precinct 07,1288,558
Olathe Ward 2 Precinct 08,696,304
Olathe Ward 2 Precinct 09,392,146
Olathe Ward 2 Precinct 10,1251,549
Olathe Ward 2 Precinct 11,1030,407
Olathe Ward 2 Precinct 12,457,232
Olathe Ward 2 Precinct 13,479,241
Olathe Ward 2 Precinct 14,436,213
Olathe Ward 2 Precinct 15,639,306
Olathe Ward 2 Precinct 16,198,72
Olathe Ward 2 Precinct 17,0,0
Olathe Ward 2 Precinct 18,0,0
Olathe Ward 2 Precinct 19,5,0
Olathe Ward 2 Precinct 20,0,0
Olathe Ward 2 Precinct 21,0,0
Olathe Ward 2 Precinct 22,1148,498
Olathe Ward 2 Precinct 23,743,266
Olathe Ward 2 Precinct 24,2,0
Olathe Ward 3 Precinct 01,303,165
Olathe Ward 3 Precinct 02,736,345
Olathe Ward 3 Precinct 03,362,181
Olathe Ward 3 Precinct 04,619,311
Olathe Ward 3 Precinct 05,597,314
Olathe Ward 3 Precinct 06,403,197
Olathe Ward 3 Precinct 07,411,212
Olathe Ward 3 Precinct 08,592,272
Olathe Ward 3 Precinct 09,301,172
Olathe Ward 3 Precinct 10,729,308
Olathe Ward 3 Precinct 11,523,207
Olathe Ward 3 Precinct 12,0,0
Olathe Ward 3 Precinct 13,656,296
Olathe Ward 3 Precinct 14,0,0
Olathe Ward 3 Precinct 15,563,229
Olathe Ward 3 Precinct 16,560,242
Olathe Ward 3 Precinct 17,802,365
Olathe Ward 3 Precinct 18,93,22
Olathe Ward 3 Precinct 19,440,200
Olathe Ward 3 Precinct 20,529,195
Olathe Ward 3 Precinct 21,1157,489
Olathe Ward 3 Precinct 22,529,270
Olathe Ward 3 Precinct 23,576,243
Olathe Ward 3 Precinct 24,243,157
Olathe Ward 3 Precinct 25,0,2
Olathe Ward 4 Precinct 01,572,246
Olathe Ward 4 Precinct 02,817,332
Olathe Ward 4 Precinct 03,421,185
Olathe Ward 4 Precinct 04,327,203
Olathe Ward 4 Precinct 05,625,256
Olathe Ward 4 Precinct 06,810,334
Olathe Ward 4 Precinct 07,671,374
Olathe Ward 4 Precinct 08,608,228
Olathe Ward 4 Precinct 09,772,383
Olathe Ward 4 Precinct 10,511,195
Olathe Ward 4 Precinct 11,332,151
Olathe Ward 4 Precinct 12,917,388
Olathe Ward 4 Precinct 13,429,195
Olathe Ward 4 Precinct 14,865,345
Olathe Ward 4 Precinct 15,60,23
Olathe Ward 4 Precinct 16,266,97
Olathe Ward 4 Precinct 17,5,0
Olathe Ward 4 Precinct 18,627,280
Olathe Ward 4 Precinct 19,712,275
Spring Hill Precinct 01,1437,725
Spring Hill Precinct 02,0,0
Spring Hill Precinct 03,132,54
Spring Hill Precinct 04,1,1
Fairway Ward 1 Precinct 01,301,70
Fairway Ward 1 Precinct 02,218,53
Fairway Ward 2 Precinct 01,195,65
Fairway Ward 2 Precinct 02,209,62
Fairway Ward 3 Precinct 01,299,55
Fairway Ward 3 Precinct 02,250,76
Fairway Ward 4 Precinct 01,126,44
Fairway Ward 4 Precinct 02,137,51
Fairway Ward 4 Precinct 03,95,26
Fairway Ward 4 Precinct 04,118,35
Leawood Ward 1 Precinct 01,499,129
Leawood Ward 1 Precinct 02,772,189
Leawood Ward 1 Precinct 03,627,200
Leawood Ward 1 Precinct 04,542,178
Leawood Ward 1 Precinct 05,438,178
Leawood Ward 1 Precinct 06,139,44
Leawood Ward 1 Precinct 07,573,205
Leawood Ward 2 Precinct 01,500,192
Leawood Ward 2 Precinct 02,750,283
Leawood Ward 2 Precinct 03,636,239
Leawood Ward 2 Precinct 04,668,271
Leawood Ward 2 Precinct 05,400,173
Leawood Ward 2 Precinct 06,320,141
Leawood Ward 2 Precinct 07,357,151
Leawood Ward 3 Precinct 01,640,218
Leawood Ward 3 Precinct 02,677,239
Leawood Ward 3 Precinct 03,444,153
Leawood Ward 3 Precinct 04,246,59
Leawood Ward 3 Precinct 05,1102,390
Leawood Ward 3 Precinct 06,1017,407
Leawood Ward 4 Precinct 01,177,90
Leawood Ward 4 Precinct 02,519,201
Leawood Ward 4 Precinct 03,416,183
Leawood Ward 4 Precinct 04,666,240
Leawood Ward 4 Precinct 05,667,242
Leawood Ward 4 Precinct 06,493,230
Leawood Ward 4 Precinct 07,1037,425
Lenexa Ward 1 Precinct 01,1363,613
Lenexa Ward 1 Precinct 02,685,350
Lenexa Ward 1 Precinct 03,836,349
Lenexa Ward 1 Precinct 04,594,285
Lenexa Ward 1 Precinct 05,36,16
Lenexa Ward 1 Precinct 06,928,370
Lenexa Ward 1 Precinct 07,139,61
Lenexa Ward 1 Precinct 08,461,182
Lenexa Ward 1 Precinct 09,18,2
Lenexa Ward 2 Precinct 01,635,238
Lenexa Ward 2 Precinct 02,985,413
Lenexa Ward 2 Precinct 03,856,395
Lenexa Ward 2 Precinct 04,864,426
Lenexa Ward 2 Precinct 05,722,289
Lenexa Ward 2 Precinct 06,402,179
Lenexa Ward 2 Precinct 07,879,363
Lenexa Ward 2 Precinct 08,0,0
Lenexa Ward 2 Precinct 09,0,0
Lenexa Ward 2 Precinct 10,241,87
Lenexa Ward 2 Precinct 11,354,174
Lenexa Ward 3 Precinct 01,587,236
Lenexa Ward 3 Precinct 02,905,374
Lenexa Ward 3 Precinct 03,778,314
Lenexa Ward 3 Precinct 04,471,232
Lenexa Ward 3 Precinct 05,563,227
Lenexa Ward 3 Precinct 06,440,203
Lenexa Ward 3 Precinct 07,600,247
Lenexa Ward 3 Precinct 08,584,246
Lenexa Ward 3 Precinct 09,522,268
Lenexa Ward 4 Precinct 01,302,134
Lenexa Ward 4 Precinct 02,552,246
Lenexa Ward 4 Precinct 03,435,167
Lenexa Ward 4 Precinct 04,318,186
Lenexa Ward 4 Precinct 05,267,117
Lenexa Ward 4 Precinct 06,607,257
Lenexa Ward 4 Precinct 07,496,213
Lenexa Ward 4 Precinct 08,431,139
Lenexa Ward 4 Precinct 09,482,224
Lenexa Ward 4 Precinct 10,302,148
Lenexa Ward 4 Precinct 11,82,32
Lenexa Ward 4 Precinct 12,409,198
Merriam Ward 1 Precinct 01,167,89
Merriam Ward 1 Precinct 02,211,101
Merriam Ward 1 Precinct 03,170,65
Merriam Ward 1 Precinct 04,247,112
Merriam Ward 2 Precinct 01,506,287
Merriam Ward 2 Precinct 02,2,3
Merriam Ward 2 Precinct 03,308,142
Merriam Ward 3 Precinct 01,540,210
Merriam Ward 3 Precinct 02,420,220
Merriam Ward 4 Precinct 01,599,242
Merriam Ward 4 Precinct 02,230,105
Merriam Ward 4 Precinct 03,314,113
Mission Ward 1 Precinct 01,331,118
Mission Ward 1 Precinct 02,391,155
Mission Ward 2 Precinct 01,558,205
Mission Ward 2 Precinct 02,478,193
Mission Ward 3 Precinct 01,593,201
Mission Ward 3 Precinct 02,277,97
Mission Ward 4 Precinct 01,347,107
Mission Ward 4 Precinct 02,457,140
Mission Ward 4 Precinct 03,310,103
Mission Hills Precinct 01,417,105
Mission Hills Precinct 02,550,114
Mission Hills Precinct 03,342,71
Mission Hills Precinct 04,517,173
Mission Woods Precinct 01,95,26
Overland Park Ward 1 Precinct 01,479,232
Overland Park Ward 1 Precinct 02,585,234
Overland Park Ward 1 Precinct 03,522,225
Overland Park Ward 1 Precinct 04,188,79
Overland Park Ward 1 Precinct 05,370,141
Overland Park Ward 1 Precinct 06,618,230
Overland Park Ward 1 Precinct 07,658,274
Overland Park Ward 1 Precinct 08,519,227
Overland Park Ward 1 Precinct 09,297,124
Overland Park Ward 1 Precinct 10,646,278
Overland Park Ward 1 Precinct 11,249,93
Overland Park Ward 1 Precinct 12,645,228
Overland Park Ward 1 Precinct 13,412,164
Overland Park Ward 1 Precinct 14,572,221
Overland Park Ward 1 Precinct 15,253,111
Overland Park Ward 1 Precinct 16,761,299
Overland Park Ward 1 Precinct 17,298,120
Overland Park Ward 1 Precinct 18,521,130
Overland Park Ward 1 Precinct 19,435,194
Overland Park Ward 1 Precinct 20,286,127
Overland Park Ward 1 Precinct 21,159,86
Overland Park Ward 1 Precinct 22,119,70
Overland Park Ward 1 Precinct 23,468,145
Overland Park Ward 2 Precinct 01,438,187
Overland Park Ward 2 Precinct 02,463,252
Overland Park Ward 2 Precinct 03,446,150
Overland Park Ward 2 Precinct 04,493,229
Overland Park Ward 2 Precinct 05,510,249
Overland Park Ward 2 Precinct 06,401,185
Overland Park Ward 2 Precinct 07,343,154
Overland Park Ward 2 Precinct 08,414,202
Overland Park Ward 2 Precinct 09,397,186
Overland Park Ward 2 Precinct 10,309,163
Overland Park Ward 2 Precinct 11,428,166
Overland Park Ward 2 Precinct 12,349,131
Overland Park Ward 2 Precinct 13,339,116
Overland Park Ward 2 Precinct 14,363,138
Overland Park Ward 2 Precinct 15,586,258
Overland Park Ward 2 Precinct 16,337,140
Overland Park Ward 2 Precinct 17,514,247
Overland Park Ward 2 Precinct 18,615,245
Overland Park Ward 2 Precinct 19,369,137
Overland Park Ward 2 Precinct 20,324,130
Overland Park Ward 2 Precinct 21,389,129
Overland Park Ward 2 Precinct 22,455,183
Overland Park Ward 2 Precinct 23,457,151
Overland Park Ward 2 Precinct 24,884,273
Overland Park Ward 2 Precinct 25,608,181
Overland Park Ward 2 Precinct 26,225,98
Overland Park Ward 2 Precinct 27,572,233
Overland Park Ward 3 Precinct 01,737,334
Overland Park Ward 3 Precinct 02,581,253
Overland Park Ward 3 Precinct 03,399,145
Overland Park Ward 3 Precinct 04,534,230
Overland Park Ward 3 Precinct 05,559,249
Overland Park Ward 3 Precinct 06,599,265
Overland Park Ward 3 Precinct 07,463,180
Overland Park Ward 3 Precinct 08,439,192
Overland Park Ward 3 Precinct 09,667,316
Overland Park Ward 3 Precinct 10,332,173
Overland Park Ward 3 Precinct 11,515,248
Overland Park Ward 3 Precinct 12,390,180
Overland Park Ward 3 Precinct 13,952,427
Overland Park Ward 3 Precinct 14,710,280
Overland Park Ward 3 Precinct 15,403,191
Overland Park Ward 3 Precinct 16,473,191
Overland Park Ward 3 Precinct 17,361,166
Overland Park Ward 3 Precinct 18,749,288
Overland Park Ward 3 Precinct 19,644,242
Overland Park Ward 3 Precinct 20,578,263
Overland Park Ward 3 Precinct 21,468,200
Overland Park Ward 3 Precinct 22,314,128
Overland Park Ward 3 Precinct 23,503,185
Overland Park Ward 4 Precinct 01,615,210
Overland Park Ward 4 Precinct 02,808,349
Overland Park Ward 4 Precinct 03,905,331
Overland Park Ward 4 Precinct 04,780,348
Overland Park Ward 4 Precinct 05,651,242
Overland Park Ward 4 Precinct 06,500,231
Overland Park Ward 4 Precinct 07,434,185
Overland Park Ward 4 Precinct 08,551,244
Overland Park Ward 4 Precinct 09,487,256
Overland Park Ward 4 Precinct 10,436,142
Overland Park Ward 4 Precinct 11,703,300
Overland Park Ward 4 Precinct 12,887,416
Overland Park Ward 4 Precinct 13,556,257
Overland Park Ward 4 Precinct 14,330,157
Overland Park Ward 4 Precinct 15,811,368
Overland Park Ward 4 Precinct 16,906,360
Overland Park Ward 4 Precinct 17,870,326
Overland Park Ward 4 Precinct 18,181,82
Overland Park Ward 4 Precinct 19,756,260
Overland Park Ward 5 Precinct 01,609,287
Overland Park Ward 5 Precinct 02,111,30
Overland Park Ward 5 Precinct 03,613,263
Overland Park Ward 5 Precinct 04,1171,514
Overland Park Ward 5 Precinct 05,891,247
Overland Park Ward 5 Precinct 06,597,246
Overland Park Ward 5 Precinct 07,814,312
Overland Park Ward 5 Precinct 08,1211,424
Overland Park Ward 5 Precinct 09,792,307
Overland Park Ward 5 Precinct 10,701,255
Overland Park Ward 5 Precinct 11,840,298
Overland Park Ward 5 Precinct 12,422,144
Overland Park Ward 5 Precinct 13,819,243
Overland Park Ward 5 Precinct 14,665,247
Overland Park Ward 5 Precinct 15,687,262
Overland Park Ward 5 Precinct 16,397,139
Overland Park Ward 5 Precinct 17,283,103
Overland Park Ward 6 Precinct 01,664,274
Overland Park Ward 6 Precinct 02,592,248
Overland Park Ward 6 Precinct 03,626,194
Overland Park Ward 6 Precinct 04,750,269
Overland Park Ward 6 Precinct 05,802,337
Overland Park Ward 6 Precinct 06,0,0
Overland Park Ward 6 Precinct 07,174,117
Overland Park Ward 6 Precinct 08,2396,897
Overland Park Ward 6 Precinct 09,1052,500
Overland Park Ward 6 Precinct 10,796,322
Overland Park Ward 6 Precinct 11,1445,544
Overland Park Ward 6 Precinct 12,261,137
Overland Park Ward 6 Precinct 13,466,219
Overland Park Ward 6 Precinct 14,0,0
Overland Park Ward 6 Precinct 15,900,347
Overland Park Ward 6 Precinct 16,442,174
Overland Park Ward 6 Precinct 17,116,59
Overland Park Ward 6 Precinct 18,41,21
Overland Park Ward 6 Precinct 19,697,318
Prairie Village Ward 1 Precinct 01,707,180
Prairie Village Ward 1 Precinct 02,511,137
Prairie Village Ward 1 Precinct 03,731,179
Prairie Village Ward 2 Precinct 01,596,160
Prairie Village Ward 2 Precinct 02,355,117
Prairie Village Ward 2 Precinct 03,570,201
Prairie Village Ward 3 Precinct 01,384,144
Prairie Village Ward 3 Precinct 02,601,183
Prairie Village Ward 3 Precinct 03,575,186
Prairie Village Ward 4 Precinct 01,608,182
Prairie Village Ward 4 Precinct 02,460,149
Prairie Village Ward 4 Precinct 03,686,230
Prairie Village Ward 5 Precinct 01,675,170
Prairie Village Ward 5 Precinct 02,705,211
Prairie Village Ward 5 Precinct 03,689,198
Prairie Village Ward 6 Precinct 01,650,174
Prairie Village Ward 6 Precinct 02,564,161
Prairie Village Ward 6 Precinct 03,443,123
Roeland Park Ward 1 Precinct 01,337,129
Roeland Park Ward 1 Precinct 02,244,59
Roeland Park Ward 2 Precinct 01,302,118
Roeland Park Ward 2 Precinct 02,362,167
Roeland Park Ward 3 Precinct 01,240,79
Roeland Park Ward 3 Precinct 02,233,86
Roeland Park Ward 3 Precinct 03,209,61
Roeland Park Ward 4 Precinct 01,179,91
Roeland Park Ward 4 Precinct 02,294,124
Roeland Park Ward 4 Precinct 03,263,100
Shawnee Ward 1 Precinct 01,557,342
Shawnee Ward 1 Precinct 02,394,247
Shawnee Ward 1 Precinct 03,385,255
Shawnee Ward 1 Precinct 04,662,359
Shawnee Ward 1 Precinct 05,806,414
Shawnee Ward 1 Precinct 06,605,305
Shawnee Ward 1 Precinct 07,616,286
Shawnee Ward 1 Precinct 08,992,443
Shawnee Ward 1 Precinct 09,114,58
Shawnee Ward 1 Precinct 10,208,99
Shawnee Ward 1 Precinct 11,564,217
Shawnee Ward 1 Precinct 12,8,1
Shawnee Ward 2 Precinct 01,306,168
Shawnee Ward 2 Precinct 02,477,288
Shawnee Ward 2 Precinct 03,575,272
Shawnee Ward 2 Precinct 04,609,333
Shawnee Ward 2 Precinct 05,322,155
Shawnee Ward 2 Precinct 06,380,230
Shawnee Ward 2 Precinct 07,351,201
Shawnee Ward 2 Precinct 08,320,189
Shawnee Ward 2 Precinct 09,313,173
Shawnee Ward 2 Precinct 10,305,153
Shawnee Ward 2 Precinct 11,400,269
Shawnee Ward 2 Precinct 12,213,71
Shawnee Ward 2 Precinct 13,233,122
Shawnee Ward 3 Precinct 01,444,229
Shawnee Ward 3 Precinct 02,1028,389
Shawnee Ward 3 Precinct 03,730,333
Shawnee Ward 3 Precinct 04,692,327
Shawnee Ward 3 Precinct 05,736,388
Shawnee Ward 3 Precinct 06,723,323
Shawnee Ward 3 Precinct 07,1023,500
Shawnee Ward 3 Precinct 08,672,311
Shawnee Ward 3 Precinct 09,696,296
Shawnee Ward 4 Precinct 01,714,341
Shawnee Ward 4 Precinct 02,386,221
Shawnee Ward 4 Precinct 03,208,107
Shawnee Ward 4 Precinct 04,325,168
Shawnee Ward 4 Precinct 05,589,305
Shawnee Ward 4 Precinct 06,521,256
Shawnee Ward 4 Precinct 07,766,296
Shawnee Ward 4 Precinct 08,261,105
Shawnee Ward 4 Precinct 09,1071,482
Shawnee Ward 4 Precinct 10,0,0
Shawnee Ward 4 Precinct 11,497,233
Shawnee Ward 4 Precinct 12,66,29
Westwood Precinct 01,397,138
Westwood Precinct 02,342,104
Westwood Hills Precinct 01,189,47
Lake Quivira Precinct 01,487,186
Bonner Springs Ward 4 Precinct 01,0,0
COUNTY TOTALS,216153,92482
