County,Precinct,Race,District,Candidate,Party,Votes,VTD
ALLEN,Carlyle Township,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,20,000010
ALLEN,Carlyle Township,Kansas Senate,12,"Tyson, Caryn  ",Republican,108,000010
ALLEN,Cottage Grove Township,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,21,000020
ALLEN,Cottage Grove Township,Kansas Senate,12,"Tyson, Caryn  ",Republican,104,000020
ALLEN,Deer Creek Township,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,9,000030
ALLEN,Deer Creek Township,Kansas Senate,12,"Tyson, Caryn  ",Republican,38,000030
ALLEN,East Elm,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,54,000040
ALLEN,East Elm,Kansas Senate,12,"Tyson, Caryn  ",Republican,174,000040
ALLEN,Geneva Township,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,9,000050
ALLEN,Geneva Township,Kansas Senate,12,"Tyson, Caryn  ",Republican,40,000050
ALLEN,Humboldt Township,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,23,00006A
ALLEN,Humboldt Township,Kansas Senate,12,"Tyson, Caryn  ",Republican,97,00006A
ALLEN,Humboldt Township Rural Enclave,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,0,00006B
ALLEN,Humboldt Township Rural Enclave,Kansas Senate,12,"Tyson, Caryn  ",Republican,0,00006B
ALLEN,Humboldt Township Split,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,0,00006C
ALLEN,Humboldt Township Split,Kansas Senate,12,"Tyson, Caryn  ",Republican,0,00006C
ALLEN,Humboldt Ward 1,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,119,000070
ALLEN,Humboldt Ward 1,Kansas Senate,12,"Tyson, Caryn  ",Republican,204,000070
ALLEN,Humboldt Ward 2,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,104,000080
ALLEN,Humboldt Ward 2,Kansas Senate,12,"Tyson, Caryn  ",Republican,258,000080
ALLEN,Iola Ward 1,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,92,000090
ALLEN,Iola Ward 1,Kansas Senate,12,"Tyson, Caryn  ",Republican,282,000090
ALLEN,Iola Ward 2,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,98,00010A
ALLEN,Iola Ward 2,Kansas Senate,12,"Tyson, Caryn  ",Republican,356,00010A
ALLEN,Iola Ward 2 Exclave,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,0,00010B
ALLEN,Iola Ward 2 Exclave,Kansas Senate,12,"Tyson, Caryn  ",Republican,0,00010B
ALLEN,Iola Ward 3,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,118,000110
ALLEN,Iola Ward 3,Kansas Senate,12,"Tyson, Caryn  ",Republican,271,000110
ALLEN,Iola Ward 4,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,106,000120
ALLEN,Iola Ward 4,Kansas Senate,12,"Tyson, Caryn  ",Republican,298,000120
ALLEN,Marmaton Township,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,48,000140
ALLEN,Marmaton Township,Kansas Senate,12,"Tyson, Caryn  ",Republican,198,000140
ALLEN,North Elsmore,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,14,000150
ALLEN,North Elsmore,Kansas Senate,12,"Tyson, Caryn  ",Republican,75,000150
ALLEN,North Iola Part A,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,24,00016A
ALLEN,North Iola Part A,Kansas Senate,12,"Tyson, Caryn  ",Republican,93,00016A
ALLEN,North Iola Part A Rural Enclave,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,0,00016B
ALLEN,North Iola Part A Rural Enclave,Kansas Senate,12,"Tyson, Caryn  ",Republican,0,00016B
ALLEN,North Iola Part B,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,0,00016C
ALLEN,North Iola Part B,Kansas Senate,12,"Tyson, Caryn  ",Republican,0,00016C
ALLEN,Osage Township,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,21,000170
ALLEN,Osage Township,Kansas Senate,12,"Tyson, Caryn  ",Republican,82,000170
ALLEN,Salem Township,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,32,000180
ALLEN,Salem Township,Kansas Senate,12,"Tyson, Caryn  ",Republican,86,000180
ALLEN,South Elsmore,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,16,000190
ALLEN,South Elsmore,Kansas Senate,12,"Tyson, Caryn  ",Republican,48,000190
ALLEN,South Iola,Kansas Senate,12,"Johnston, Christopher B. ",Democratic,47,00020A
ALLEN,South Iola,Kansas Senate,12,"Tyson, Caryn  ",Republican,171,00020A
