County,Precinct,Race,District,Candidate,Party,Votes,VTD
ALLEN,Iola Ward 1,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,89,000090
ALLEN,Iola Ward 1,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,368,000090
ALLEN,Iola Ward 2,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,90,00010A
ALLEN,Iola Ward 2,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,471,00010A
ALLEN,Iola Ward 2 Exclave,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,0,00010B
ALLEN,Iola Ward 2 Exclave,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,0,00010B
ALLEN,Iola Ward 3,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,121,000110
ALLEN,Iola Ward 3,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,381,000110
ALLEN,Iola Ward 4,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,117,000120
ALLEN,Iola Ward 4,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,396,000120
ALLEN,Marmaton Township,Kansas House of Representatives,2,"Lusker, Adam J. Sr.",Democratic,253,000140
ALLEN,North Elsmore,Kansas House of Representatives,2,"Lusker, Adam J. Sr.",Democratic,52,000150
ALLEN,North Iola Part A,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,25,00016A
ALLEN,North Iola Part A,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,110,00016A
ALLEN,North Iola Part A Rural Enclave,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,0,00016B
ALLEN,North Iola Part A Rural Enclave,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,0,00016B
ALLEN,North Iola Part B,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,0,00016C
ALLEN,North Iola Part B,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,0,00016C
ALLEN,Osage Township,Kansas House of Representatives,2,"Lusker, Adam J. Sr.",Democratic,81,000170
ALLEN,Salem Township,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,21,000180
ALLEN,Salem Township,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,106,000180
ALLEN,South Elsmore,Kansas House of Representatives,2,"Lusker, Adam J. Sr.",Democratic,42,000190
ALLEN,South Iola,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,40,00020A
ALLEN,South Iola,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,232,00020A
ALLEN,South Iola Enclave,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,0,00020B
ALLEN,South Iola Enclave,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,0,00020B
ALLEN,West Elm,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,102,000210
ALLEN,West Elm,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,397,000210
ALLEN,Logan Township S12,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,33,120020
ALLEN,Logan Township S12,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,75,120020
ALLEN,Logan Township S15,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,0,120030
ALLEN,Logan Township S15,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,0,120030
ANDERSON,Garnett Precinct 1,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,168,00002A
ANDERSON,Garnett Precinct 1,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,299,00002A
ANDERSON,Garnett Precinct 1 Exclave,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,0,00002B
ANDERSON,Garnett Precinct 1 Exclave,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,0,00002B
ANDERSON,Garnett Precinct 2,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,158,000030
ANDERSON,Garnett Precinct 2,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,167,000030
ANDERSON,Garnett Precinct 3,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,124,000040
ANDERSON,Garnett Precinct 3,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,211,000040
ANDERSON,Garnett Precinct 4,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,28,000050
ANDERSON,Garnett Precinct 4,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,37,000050
ANDERSON,Indian Creek Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,16,000080
ANDERSON,Indian Creek Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,48,000080
ANDERSON,Lincoln Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,23,000110
ANDERSON,Lincoln Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,73,000110
ANDERSON,Monroe Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,59,00014A
ANDERSON,Monroe Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,113,00014A
ANDERSON,Putnam Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,57,000170
ANDERSON,Putnam Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,86,000170
ANDERSON,Reeder Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,30,000180
ANDERSON,Reeder Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,67,000180
ANDERSON,Washington Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,46,000210
ANDERSON,Washington Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,81,000210
ANDERSON,Welda Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,47,000220
ANDERSON,Welda Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,86,000220
ANDERSON,Lone Elm Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,91,130010
ANDERSON,Ozark Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,83,130020
ANDERSON,Ozark Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,175,130020
ANDERSON,Rich Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,134,130030
ANDERSON,Walker Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,171,130040
ANDERSON,Walker Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,143,130040
ANDERSON,Westphalia Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,49,130050
ANDERSON,Westphalia Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,85,130050
ANDERSON,Jackson Township,Kansas House of Representatives,5,"Walker, Doug  ",Democratic,63,140010
ANDERSON,Jackson Township,Kansas House of Representatives,5,"Jones, Kevin  ",Republican,133,140010
ATCHISON,Atchison Precinct 1,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,50,000010
ATCHISON,Atchison Precinct 1,Kansas House of Representatives,63,"Eplee, John R. ",Republican,208,000010
ATCHISON,Atchison Precinct 2 East,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,61,000020
ATCHISON,Atchison Precinct 2 East,Kansas House of Representatives,63,"Eplee, John R. ",Republican,235,000020
ATCHISON,Atchison Precinct 2 West,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,75,000030
ATCHISON,Atchison Precinct 2 West,Kansas House of Representatives,63,"Eplee, John R. ",Republican,239,000030
ATCHISON,Atchison Precinct 3 East,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,123,000040
ATCHISON,Atchison Precinct 3 East,Kansas House of Representatives,63,"Eplee, John R. ",Republican,403,000040
ATCHISON,Atchison Precinct 3 West,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,170,00005A
ATCHISON,Atchison Precinct 3 West,Kansas House of Representatives,63,"Eplee, John R. ",Republican,651,00005A
ATCHISON,Atchison Precinct 4,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,114,00006A
ATCHISON,Atchison Precinct 4,Kansas House of Representatives,63,"Eplee, John R. ",Republican,335,00006A
ATCHISON,Atchison Precinct 4 Exclave A,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,0,00006B
ATCHISON,Atchison Precinct 4 Exclave A,Kansas House of Representatives,63,"Eplee, John R. ",Republican,0,00006B
ATCHISON,Atchison Precinct 4 Exclave B,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,0,00006C
ATCHISON,Atchison Precinct 4 Exclave B,Kansas House of Representatives,63,"Eplee, John R. ",Republican,0,00006C
ATCHISON,Atchison Precinct 5 North,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,146,00007A
ATCHISON,Atchison Precinct 5 North,Kansas House of Representatives,63,"Eplee, John R. ",Republican,450,00007A
ATCHISON,Atchison Precinct 5 North Exclave A,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,0,00007B
ATCHISON,Atchison Precinct 5 North Exclave A,Kansas House of Representatives,63,"Eplee, John R. ",Republican,0,00007B
ATCHISON,Atchison Precinct 5 North Exclave B,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,0,00007C
ATCHISON,Atchison Precinct 5 North Exclave B,Kansas House of Representatives,63,"Eplee, John R. ",Republican,0,00007C
ATCHISON,Atchison Precinct 5 South,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,64,00008A
ATCHISON,Atchison Precinct 5 South,Kansas House of Representatives,63,"Eplee, John R. ",Republican,299,00008A
ATCHISON,Atchison Precinct 5 South Exclave A,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,0,00008B
ATCHISON,Atchison Precinct 5 South Exclave A,Kansas House of Representatives,63,"Eplee, John R. ",Republican,0,00008B
ATCHISON,Atchison Precinct 5 South Exclave B,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,0,00008C
ATCHISON,Atchison Precinct 5 South Exclave B,Kansas House of Representatives,63,"Eplee, John R. ",Republican,0,00008C
ATCHISON,Atchison Precinct 5 South Exclave C,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,0,00008D
ATCHISON,Atchison Precinct 5 South Exclave C,Kansas House of Representatives,63,"Eplee, John R. ",Republican,0,00008D
ATCHISON,Center Township,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,64,000100
ATCHISON,Center Township,Kansas House of Representatives,63,"Eplee, John R. ",Republican,277,000100
ATCHISON,Grasshopper Township,Kansas House of Representatives,62,"Garber, Randy  ",Republican,251,000110
ATCHISON,Huron Township,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,15,000120
ATCHISON,Huron Township,Kansas House of Representatives,63,"Eplee, John R. ",Republican,82,000120
ATCHISON,Kapioma Township,Kansas House of Representatives,62,"Garber, Randy  ",Republican,116,000130
ATCHISON,Lancaster Township,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,63,000140
ATCHISON,Lancaster Township,Kansas House of Representatives,63,"Eplee, John R. ",Republican,246,000140
ATCHISON,Shannon Township,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,118,00016A
ATCHISON,Shannon Township,Kansas House of Representatives,63,"Eplee, John R. ",Republican,541,00016A
ATCHISON,Walnut Township,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,57,00017A
ATCHISON,Walnut Township,Kansas House of Representatives,63,"Eplee, John R. ",Republican,185,00017A
ATCHISON,Walnut Township Enclave,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,1,00017B
ATCHISON,Walnut Township Enclave,Kansas House of Representatives,63,"Eplee, John R. ",Republican,2,00017B
ATCHISON,Mount Pleasant Township,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,86,100050
ATCHISON,Mount Pleasant Township,Kansas House of Representatives,63,"Eplee, John R. ",Republican,380,100050
ATCHISON,Benton Township H62,Kansas House of Representatives,62,"Garber, Randy  ",Republican,281,120020
ATCHISON,Benton Township H63,Kansas House of Representatives,63,"Neibling, W. Brett ",Democratic,25,120030
ATCHISON,Benton Township H63,Kansas House of Representatives,63,"Eplee, John R. ",Republican,97,120030
BARBER,Aetna Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,1,000010
BARBER,Aetna Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,6,000010
BARBER,Deerhead Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,1,000020
BARBER,Deerhead Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,6,000020
BARBER,Eagle Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,1,000030
BARBER,Eagle Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,19,000030
BARBER,Elm Mills Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,21,000040
BARBER,Elm Mills Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,53,000040
BARBER,Elwood Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,17,000050
BARBER,Elwood Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,75,000050
BARBER,Hazelton Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,23,000060
BARBER,Hazelton Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,56,000060
BARBER,Kiowa East Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,95,000070
BARBER,Kiowa East Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,221,000070
BARBER,Kiowa West Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,57,000080
BARBER,Kiowa West Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,141,000080
BARBER,Lake City Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,11,000090
BARBER,Lake City Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,24,000090
BARBER,McAdoo Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,0,000100
BARBER,McAdoo Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,16,000100
BARBER,Medicine Lodge Precinct 1,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,96,000110
BARBER,Medicine Lodge Precinct 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,243,000110
BARBER,Medicine Lodge Precinct 2,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,73,00012A
BARBER,Medicine Lodge Precinct 2,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,184,00012A
BARBER,Medicine Lodge Precinct 2 Exclave,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,0,00012B
BARBER,Medicine Lodge Precinct 2 Exclave,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,0,00012B
BARBER,Medicine Lodge Precinct 3,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,53,000130
BARBER,Medicine Lodge Precinct 3,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,137,000130
BARBER,Medicine Lodge Precinct 4,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,25,000140
BARBER,Medicine Lodge Precinct 4,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,115,000140
BARBER,Medicine Lodge Precinct 5,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,4,000150
BARBER,Medicine Lodge Precinct 5,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,27,000150
BARBER,Mingona Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,10,000160
BARBER,Mingona Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,34,000160
BARBER,Moore Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,8,000170
BARBER,Moore Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,13,000170
BARBER,Nippawalla Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,1,000180
BARBER,Nippawalla Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,18,000180
BARBER,Sun City Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,1,000210
BARBER,Sun City Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,28,000210
BARBER,Turkey Creek Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,5,000220
BARBER,Turkey Creek Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,9,000220
BARBER,Valley Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,9,000230
BARBER,Valley Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,54,000230
BARBER,Sharon Township,Kansas House of Representatives,116,"Roitman, Jolene E. ",Democratic,45,130010
BARBER,Sharon Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Republican,147,130010
BARTON,Albion Township,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,24,000010
BARTON,Beaver Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,44,000020
BARTON,Buffalo Township,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,209,000030
BARTON,Cheyenne Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,99,000040
BARTON,Clarence Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,50,000050
BARTON,Cleveland Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,18,000060
BARTON,Comanche Township,Kansas House of Representatives,113,"Lewis, Greg  ",Republican,181,000070
BARTON,Eureka Township,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,40,000080
BARTON,Fairview Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,42,000090
BARTON,Grant Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,25,000100
BARTON,Great Bend City Ward 1 Precinct 1,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,294,00011A
BARTON,Great Bend City Ward 1 Precinct 1 Courthouse,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00011B
BARTON,Great Bend City Ward 1 Precinct 2,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,437,000120
BARTON,Great Bend City Ward 1 Precinct 3,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,351,000130
BARTON,Great Bend City Ward 2 Precinct 1,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,562,000140
BARTON,Great Bend City Ward 2 Precinct 2,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,535,000150
BARTON,Great Bend City Ward 2 Precinct 3,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,656,000160
BARTON,Great Bend City Ward 3 Precinct 1,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,361,000170
BARTON,Great Bend City Ward 3 Precinct 2,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,429,000180
BARTON,Great Bend City Ward 3 Precinct 3,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,469,00019A
BARTON,Great Bend City Ward 3 Precinct 3 Exclave,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00019B
BARTON,Great Bend City Ward 4 Precinct 1,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,238,000200
BARTON,Great Bend City Ward 4 Precinct 2,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,189,000210
BARTON,Great Bend City Ward 4 Precinct 3,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,81,00022A
BARTON,Great Bend City Ward 4 Precinct 3 Exclave A,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00022B
BARTON,Great Bend City Ward 4 Precinct 3 Exclave B,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00022C
BARTON,Great Bend City Ward 4 Precinct 3 Exclave C,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00022D
BARTON,Great Bend City Ward 4 Precinct 3 Exclave D1,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00022E
BARTON,Great Bend City Ward 4 Precinct 3 Exclave D2,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00022F
BARTON,Great Bend Township Part A,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,554,00023A
BARTON,Great Bend Township Part B,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,105,00023B
BARTON,Great Bend Township,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00023C
BARTON,Hoisington Ward 1,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,236,000240
BARTON,Hoisington Ward 2,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,260,000250
BARTON,Hoisington Ward 3,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,243,000260
BARTON,Hoisington Ward 4,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,224,00027A
BARTON,Hoisington Ward 4 Exclave,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,00027B
BARTON,Independent Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,340,000280
BARTON,Lakin Township,Kansas House of Representatives,113,"Lewis, Greg  ",Republican,939,000290
BARTON,Liberty Township,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,101,000300
BARTON,Logan Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,72,000310
BARTON,North Homestead Township,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,64,000320
BARTON,Pawnee Rock Township,Kansas House of Representatives,113,"Lewis, Greg  ",Republican,153,000330
BARTON,South Bend Township,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,251,000340
BARTON,South Homestead Township,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,149,000350
BARTON,Union Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,52,000360
BARTON,Walnut Township Albert,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,84,000370
BARTON,Walnut Township Olmitz,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,68,000380
BARTON,Wheatland Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Republican,27,000390
BARTON,Hoisington Landfill,Kansas House of Representatives,112,"Arnberger, Tory M. ",Republican,0,900010
BOURBON,Drywood Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,181,000010
BOURBON,Fort Scott Ward 1,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,308,00002A
BOURBON,Fort Scott Ward 1 Exclave Colonial,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,00002B
BOURBON,Fort Scott Ward 1 Exclave Halls,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,00002C
BOURBON,Fort Scott Ward 1 Exclave Red Barn,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,00002D
BOURBON,Fort Scott Ward 1 Exclave Red Ram A,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,00002E
BOURBON,Fort Scott Ward 1 Exclave Red Ram B,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,00002F
BOURBON,Fort Scott Ward 2,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,339,00003A
BOURBON,Fort Scott Ward 3,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,141,000040
BOURBON,Fort Scott Ward 4,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,327,00005A
BOURBON,Fort Scott Ward 4 Exclave A,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,00005B
BOURBON,Fort Scott Ward 4 Exclave B,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,00005C
BOURBON,Fort Scott Ward 4 Exclave C,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,00005D
BOURBON,Fort Scott Ward 5,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,386,000060
BOURBON,Fort Scott Ward 6,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,479,000070
BOURBON,Fort Scott Ward 7,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,460,000080
BOURBON,Franklin Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,127,000090
BOURBON,Freedom Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,164,000100
BOURBON,Marion Township,Kansas House of Representatives,2,"Lusker, Adam J. Sr.",Democratic,320,000110
BOURBON,Marmaton Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,311,000120
BOURBON,Mill Creek Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,212,000130
BOURBON,North Scott Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,349,000140
BOURBON,Osage Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,186,000150
BOURBON,Pawnee Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,120,000160
BOURBON,South Scott Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,678,000170
BOURBON,Timberhill Township,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,87,000180
BOURBON,Walnut Township,Kansas House of Representatives,2,"Lusker, Adam J. Sr.",Democratic,29,000190
BOURBON,Fort Scott Ward 6 Exclave A,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,900010
BOURBON,Fort Scott Ward 4 Exclave C,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,900020
BOURBON,Fort Scott Ward 4 Exclave D,Kansas House of Representatives,4,"Jacobs, Trevor  ",Republican,0,900030
BROWN,Hamlin Township,Kansas House of Representatives,62,"Garber, Randy  ",Republican,80,000010
BROWN,Hiawatha City Ward 1,Kansas House of Representatives,62,"Garber, Randy  ",Republican,148,000020
