County,Precinct,Race,District,Candidate,Party,Votes,VTD
ALLEN,Carlyle Township,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,21,000010
ALLEN,Carlyle Township,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,133,000010
ALLEN,Cottage Grove Township,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,17,000020
ALLEN,Cottage Grove Township,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,111,000020
ALLEN,Deer Creek Township,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,13,000030
ALLEN,Deer Creek Township,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,49,000030
ALLEN,East Elm,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,46,000040
ALLEN,East Elm,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,225,000040
ALLEN,Geneva Township,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,13,000050
ALLEN,Geneva Township,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,44,000050
ALLEN,Humboldt Township,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,19,00006A
ALLEN,Humboldt Township,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,113,00006A
ALLEN,Humboldt Township Rural Enclave,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,0,00006B
ALLEN,Humboldt Township Rural Enclave,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,0,00006B
ALLEN,Humboldt Township Split,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,0,00006C
ALLEN,Humboldt Township Split,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,0,00006C
ALLEN,Humboldt Ward 1,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,90,000070
ALLEN,Humboldt Ward 1,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,256,000070
ALLEN,Humboldt Ward 2,Kansas House of Representatives,9,"McMurray, Patrick  ",Libertarian,77,000080
ALLEN,Humboldt Ward 2,Kansas House of Representatives,9,"Thompson, Kent L. ",Republican,327,000080
